id,question,answer,prediction,Qwen__Qwen3-32B,google__gemma-3-27b-it,meta-llama__Llama-3.3-70B-Instruct,majority_vote
1,Quel est le code ISIN mentionné dans le tableau ?,FR0010655761, FR0010655761,True,True,True,True
2,Quelle est l’affectation des sommes distribuables ?,Capitalisation et/ou distribution par décision de la Société de Gestion., Capitalisation et/ou distribution par décision de la Société de Gestion,True,True,True,True
3,En quelle devise le fonds est-il libellé ?,euro, euro,True,True,True,True
4,À quelle fréquence est calculée la valeur liquidative ?,Quotidienne, Quotidienne,True,True,True,True
5,Quelle est la valeur liquidative d’origine ?,"103,49 euros"," 103,45 euros",False,False,False,False
6,Quelle est la souscription initiale minimale sur le marché primaire ?,6800 parts, 600 euros,False,False,False,False
7,Quelle est la souscription ultérieure minimale sur le marché primaire ?,1 part, 600 euros,False,False,False,False
8,Quelle est la souscription initiale minimale sur le marché secondaire ?,1 part, 1 part(s),True,True,True,True
9,Quelle est la souscription ultérieure minimale sur le marché secondaire ?,1 part, 1 part(s),True,True,True,True
10,Quels sont les types de souscripteurs concernés ?,Tous souscripteurs, Tous souscripteurs,True,True,True,True
11,La souscription initiale minimale sur le marché primaire est-elle de 6800 parts ?,Oui, Oui,True,True,True,True
12,Le produit est-il ouvert à tous les souscripteurs ?,Oui, Oui,True,True,True,True
13,Quelle est la fréquence de calcul de la valeur liquidative ?,Quotidienne, Quotidienne,True,True,True,True
14,La valeur liquidative d’origine est-elle supérieure à 100 € ?,Oui, Oui,True,True,True,True
15,"La valeur liquidative d’origine est supérieure à 100 €, vrai ou faux ?",Oui, Vrai,True,True,True,True
16,L’affectation des sommes distribuables est-elle uniquement en capitalisation ?,Non, Oui,False,False,False,False
17,À quelle heure limite les ordres de souscription doivent-ils être centralisés ?,avant 17h00, 17h00,False,True,False,False
18,À quelle heure limite les ordres de rachat doivent-ils être centralisés ?,avant 17h00, 17h00,False,True,False,False
19,Quand l’exécution des ordres a-t-elle lieu ?,en J," En J, après la centralisation avant 17h00 des ordres de rachat.",True,True,False,True
20,Quand la valeur liquidative (VL) est-elle publiée ?,J+1 ouvré, J+1 ouvré,True,True,True,True
21,À quelle date les souscriptions sont-elles réglées ?,J+2 ouvrés, J+2 ouvrés,True,True,True,True
22,À quelle date les rachats sont-ils réglés ?,J+2 ouvrés, J+2 ouvrés,True,True,True,True
23,Quel est le taux de la commission de souscription non acquise au fonds sur le marché concerné ?,3 % par demande de souscription, 3% par demande de souscription,True,True,True,True
24,Quel est le taux de la commission de rachat non acquise au fonds ?,3 % par demande de rachat, 3% par demande de rachat,True,True,True,True
25,Quelle est l’assiette utilisée pour le calcul des commissions de souscription et de rachat ?,Valeur liquidative × Nombre de parts, Valeur liquidative X Nombre de parts,True,True,True,True
26,La commission de souscription non acquise au fonds est-elle de 3 % ?,Oui, Oui,True,True,True,True
27,Une commission de souscription acquise au fonds est-elle prélevée ?,Non," Non, la commission de souscription acquise au Fonds est néant.",True,True,True,True
28,La commission de rachat non acquise au fonds est-elle de 3 % ?,Oui, Oui,True,True,True,True
29,Une commission de rachat acquise au fonds est-elle appliquée ?,Non," Non, la commission de rachat acquise au Fonds est néant.",True,True,True,True
30,La base de calcul des commissions est-elle : Valeur liquidative × Nombre de parts ?,Oui, Oui,True,True,True,True
31,Quel est le montant maximal des frais d’entrée ?,"5,00 %"," 5,00 % maximum",True,True,True,True
32,Quel pourcentage des frais d’entrée est acquis à l’OPCI ?,"3,50 %"," 3,50 %",True,True,True,True
33,Y a-t-il des frais de sortie pour cette catégorie d’actions ?,Non," Non, il n'y a pas de frais de sortie pour cette catégorie d’actions.",True,True,True,True
34,À quoi servent les frais d’entrée acquis à l’OPCI ?,couvrir les frais  et taxes relatifs à l’acquisition ou à la cession d’actifs, Ils servent à couvrir les frais et taxes relatifs à l’acquisition ou à la cession d’actifs.,True,True,True,True
35,Y a-t-il des frais de sortie pour cet OPCI ?,Non," Non, il n'y a pas de frais de sortie pour cet OPCI.",True,True,True,True
36,Quel est le pourcentage des frais courants annuels ?,"2,190 % TTC de l’actif net"," 2,190 % T.T.C. de l'actif net",True,True,True,True
