id,context,question,answer,prediction,evaluation
1,"World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.
OBJECTIFS ET POLITIQUE D'INVESTISSEMENT
Objectif de l'investissement
Le Fonds vise à combiner croissance et revenu en investissant dans des entreprises cotées sur les marchés boursiers internationaux.
Le Fonds a pour objectif d'enregistrer une performance supérieure (avant frais) à celle de l'indice de référence, le S&P Global Natural Resources (USD).",Quel est le nom du fonds parapluie associé à ce document KIID ?,Aberdeen Standard SICAV I, Aberdeen Standard SICAV I,True
2,"World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.
OBJECTIFS ET POLITIQUE D'INVESTISSEMENT
Objectif de l'investissement
Le Fonds vise à combiner croissance et revenu en investissant dans des entreprises cotées sur les marchés boursiers internationaux.
Le Fonds a pour objectif d'enregistrer une performance supérieure (avant frais) à celle de l'indice de référence, le S&P Global Natural Resources (USD).",Quel est le nom du produit ou du fonds décrit dans ce KIID ?,World Resources Equity Fund, World Resources Equity Fund,True
3,"Les frais que vous payez servent à payer les coûts de fonctionnement du fonds, y compris la commercialisation et la distribution. Ces frais réduisent le potentiel de croissance de votre placement.
Frais ponctuels prélevés avant ou après investissement
Frais d'entrée 5.00%
Frais de sortie 0.00%
Il s'agit des frais maximums que nous pouvons prélever sur votre argent avant de l'investir et avant de verser le produit de la vente de votre placement. Dans certains cas, les frais pourraient être moins élevés ; vous devriez en parler à votre conseiller financier.
Frais prélevés par le fonds sur une année
Les frais d'entrée et de sortie indiqués sont des chiffres maximums. Dans certains cas, les frais pourraient être moins élevés ; vous pouvez vous renseigner auprès de votre conseiller financier.
Le montant des frais en cours est arrêté au 30/09/2020. Il ne comprend pas : les commissions de performance (le cas échéant) ; les frais de transaction du portefeuille, sauf dans le cas d'un droit d'entrée ou de sortie payé par le fonds lors de l'achat ou de la vente dans le cadre d'un autre organisme de placement collectif.
Une taxe de transfert peut être appliquée conformément au prospectus.
Pour de plus amples informations sur les frais, veuillez consulter le prospectus.
Pour plus d'informations sur les frais, veuillez consulter le prospectus qui est disponible sur www.aberdeenstandard.com.
Frais courants 2.15%
Frais prélevés par le fonds dans certaines circonstances
Commission de performance 0.00%
PERFORMANCES PASSÉES
World Resources Equity Fund, S Acc Hedged EUR Actions, 31 décembre 2020
Rendements %
Les performances passées ne préjugent pas des performances futures.
Le rendement est net de frais et ne tient pas compte des frais d'entrée, de sortie ou de transfert, mais il tient compte des frais courants, comme l'indique le chapitre Frais.
La performance est calculée en EUR.
Le fonds a été lancé en 1989. La catégorie d'actions/de parts a été lancée en 2005.
Objectif de performance -S&P Global Natural Resources, NAV Hedged to EUR.",Quels sont les frais d’entrée applicables à cet investissement ?,0.05, 5.00%,True
4,"Les frais que vous payez servent à payer les coûts de fonctionnement du fonds, y compris la commercialisation et la distribution. Ces frais réduisent le potentiel de croissance de votre placement.
Frais ponctuels prélevés avant ou après investissement
Frais d'entrée 5.00%
Frais de sortie 0.00%
Il s'agit des frais maximums que nous pouvons prélever sur votre argent avant de l'investir et avant de verser le produit de la vente de votre placement. Dans certains cas, les frais pourraient être moins élevés ; vous devriez en parler à votre conseiller financier.",Quels sont les frais de sortie applicables à cet investissement ?,0, 0.00%,True
5,"Dans des conditions de marché extrêmes, certains titres peuvent devenir difficiles à évaluer ou à vendre à un prix souhaité. Cela pourrait nuire à la capacité du fonds d'honorer les rachats en temps opportun.",Quels sont les risques associés à cet investissement concernant l'évaluation et la vente des titres ?,certains titres peuvent devenir difficiles à évaluer ou à vendre à un prix souhaité," Les risques associés sont la difficulté d'évaluer ou de vendre certains titres à un prix souhaité en conditions de marché extrêmes, ce qui pourrait nuire à la capacité du fonds à honorer les rachats en temps opportun.",True
6,"Le fonds investit dans des actions et des titres assimilés. Ces titres sont sensibles aux variations des marchés boursiers, qui peuvent être volatils, et varier considérablement sur de courtes périodes.",Quels sont les risques associés à l'investissement dans des actions et des titres assimilés ?,"Ces titres sont sensibles aux variations des marchés boursiers, qui peuvent être volatils, et varier considérablement sur de courtes périodes.", Les risques associés à l'investissement dans des actions et des titres assimilés sont la volatilité des marchés boursiers et les variations importantes des valeurs sur de courtes périodes.,True
7,"Pour la catégorie d'actions décrite comme étant « couverte », des techniques de couverture du risque de change sont utilisées, ce qui permet de réduire, mais pas d'éliminer, le risque de change. En particulier, la devise couverte n'est pas nécessairement liée aux devises du Fonds. ",Contre quel risque lié à l'investissement des techniques de couverture sont-elles mises en place ?,risque de change, Risque de change,True
8,"Les performances passées ne préjugent pas des performances futures.
Le rendement est net de frais et ne tient pas compte des frais d'entrée, de sortie ou de transfert, mais il tient compte des frais courants, comme l'indique le chapitre Frais.
La performance est calculée en EUR.
Le fonds a été lancé en 1989. La catégorie d'actions/de parts a été lancée en 2005.
Objectif de performance -S&P Global Natural Resources, NAV Hedged to EUR.",Dans quelle devise la performance de ce fonds est-elle mesurée ?,EUR, EUR,True
9,"Informations clés pour l'investisseur
Ce document fournit des informations essentielles aux investisseurs de ce fonds. Il ne s'agit pas d'un document promotionnel. Les informations qu'il
contient vous sont fournies conformément à une obligation légale, afin de vous aider à comprendre en quoi consiste un investissement dans ce
fonds et quels risques y sont associés. Il vous est conseillé de le lire pour décider en connaissance de cause d'investir ou non.

World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.

OBJECTIFS ET POLITIQUE D'INVESTISSEMENT
Objectif de l'investissement

Le Fonds vise à combiner croissance et revenu en investissant dans des entreprises cotées sur les marchés boursiers internationaux.
Le Fonds a pour objectif d'enregistrer une performance supérieure (avant frais) à celle de l'indice de référence, le S&P Global Natural
Resources (USD).
",Dans quelle devise le fond est il libellé?,un compartiment libellé en dollars américains, Dollars américains,True
10,"Objectif de l'investissement
Le Fonds vise à combiner croissance et revenu en investissant dans des entreprises cotées sur les marchés boursiers internationaux.
Le Fonds a pour objectif d'enregistrer une performance supérieure (avant frais) à celle de l'indice de référence, le S&P Global Natural Resources (USD).
Politique d'investissement
Titres en portefeuille
- Le Fonds investit au moins deux tiers de son actif dans les actions et titres de participation d'entreprises œuvrant dans l'extraction, la production, la transformation et le négoce de produits chimiques, de matériaux de construction, de métaux et autres matières premières, de bois et de produits de papier, de conteneurs et d'emballages, ainsi que d'entreprises du secteur des ressources énergétiques, qui sont cotées sur les marchés boursiers internationaux.
Processus de gestion
- Le Fonds est géré activement.
- L'indice de référence est utilisé comme référence pour la construction du portefeuille et pour définir les contraintes de risque.
- Pour atteindre son objectif, le Fonds prendra des positions dont la pondération s'écarte de l'indice de référence ou investira dans des titres qui ne sont pas inclus dans l'indice de référence. Les investissements du Fonds et leur pondération peuvent être très différents de ceux qui composent l'indice.
- En raison de la nature active du processus de gestion, le profil de performance du Fonds peut s'écarter sensiblement de celui de l'indice de référence sur le long terme.
- ASI intègre les considérations environnementales, sociales et de gouvernance (ESG) au processus d'investissement. Les détails de l'approche d'intégration des facteurs ESG pour l'investissement en actions sont publiés sur www.aberdeenstandard.com sous « Responsible Investing » (Investissement responsable).
Produits dérivés et techniques
- Les instruments dérivés ne sont utilisés qu'à des fins de couverture ou pour établir les expositions qui pourraient être obtenues en investissant dans les actifs dans lesquels le Fonds est principalement investi.
L'utilisation de produits dérivés est contrôlée afin de veiller à ce que le fonds ne soit pas exposé à des risques excessifs ou involontaires.
Les investisseurs du fonds peuvent acheter et vendre des actions n'importe quel jour de bourse (tel que défini dans le Prospectus).
Si vous investissez dans des actions de revenu, vous recevrez le revenu des placements dans le fonds. Si vous investissez dans des actions de capitalisation, le revenu sera ajouté à la valeur de vos actions.
Recommandation : le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans. Les investisseurs devraient s'assurer que leur attitude face au risque est conforme au profil de risque de ce fonds avant d'investir.",Quel indice de référence est utilisé pour comparer la performance de ce fonds ?,S&P Global Natural Resources (USD), S&P Global Natural Resources (USD),True
