id,question,answer,prediction,google__gemma-3-27b-it,meta-llama__Llama-3.3-70B-Instruct,Qwen__Qwen3-32B,majority_vote
1,Est-ce qu'il faut souscrire à au moins 6800 parts pour commencer sur le marché principal ?,Oui," Oui",True,True,True,True
2,C’est accessible à n’importe quel investisseur ce produit-là ?,Oui," Oui",True,True,True,True
3,"VL de départ > 100 euros, c’est le cas ?",Oui," Oui",True,True,True,True
4,Vrai ou faux : la VL initiale dépasse les 100 €,Oui," Vrai",True,True,True,True
5,Est-ce que les gains sont toujours réinvestis automatiquement (capitalisation only) ?,Non," Non",True,True,True,True
6,"Le montant prélevé à l’entrée, sans être affecté au fonds, correspond-il à 3 % ?",Oui," Oui",True,True,True,True
7,Est-ce qu’il y a un % de frais d’entrée qui va au fonds directement ?,Non," Non",True,True,True,True
8,Faut-il payer 3% de prélèvement non reversé au fonds quand on sort ?,Oui," Oui",True,True,True,True
9,Le fonds récupère t-il un peu des frais de sortie ou pas ?,Non," Oui",False,False,False,False
10,Les frais sont-ils calculés en multipliant la VL par le nb de parts ?,Oui," Oui",True,True,True,True
11,Cette classe d’actions a-t-elle des exit fees ?,Non," Non",True,True,True,True
12,"Sortir de cet OPCI, ça coûte quelque chose ou c’est gratuit ?",Non," ça coûte quelque chose",False,False,False,False
13,Frais d’exploitation des biens = inclus dans les frais courants ? (V/F),Vrai," V",True,True,True,True
14,"Les frais dépassent 3 % de l’actif net, c’est vrai ou c’est du fake ?",Faux," Vrai",False,False,False,False
15,La perf fee est prise chaque année peu importe les résultats ? Vrai ou faux ?,Faux," Vrai",False,False,False,False
16,Les frais changent-ils selon les années ?,Oui," Oui",True,True,True,True
17,Ce fonds-là prend une perf fee ?,Oui," Oui",True,True,True,True
18,Est-ce que les frais réguliers peuvent fluctuer ?,Oui," Non",False,False,False,False
19,On y trouve autre chose que le risque dans ce tableau ou pas ?,Non," non",True,True,True,True
20,Est-ce que ça coûte quelque chose pour quitter le fonds ?,Non," Non",True,True,True,True
21,Ce FCPE-là il prend une perf fee ou pas ?,Non," Non",True,True,True,True
22,Chaque part a bien un code officiel (AMF) attribué ?,Oui," Oui",True,True,True,True
23,Y en a-t-il qui distribuent le résultat plutôt que le capitalisent ?,Non," Non",True,True,True,True
24,F/V : Les parts E et F ont un code AMF mais pas d’ISIN ?,Vrai," V",True,True,True,True
25,On te fait payer à l’entrée ou à la sortie là-dessus ?,Non," à l'entrée",False,False,False,False
26,True or False: max gestion fees pour Amundi ESR PER = 1.10 % ?,Faux," False",True,True,True,True
27,V/F : C’est l’employeur qui couvre les coûts d’ESR - PER CA ?,Faux," V",False,False,False,False
28,Est-ce qu’on te colle une commission de surperformance si RETRAITE-C dépasse ses objectifs ?,Oui," Oui",True,True,True,True
29,Peuvent-ils ajouter des frais de sortie plus tard ?,Oui," Oui",True,True,True,True
30,Tout le monde peut acheter l’action F ou c’est limité ?,Non," Non, c’est limité.",True,True,True,True
31,"VL de base pour F = 100 euros, c’est bien ça ?",Oui," Oui",True,True,True,True
32,Elle est en euro cette action F ? Ou autre devise ?,Oui," EUR",True,True,True,True
33,Faut en prendre au moins 10 pour l’action F au début ?,Non," Non",True,True,True,True
34,L’affectation des revenus de F peut-elle inclure une distribution ?,Oui," Oui",True,True,True,True
35,Est-il exact que l’action F est ouverte à des entités institutionnelles extérieures à La Française ? (Vrai/Faux),Faux," Faux",True,True,True,True
36,"Vrai ou Faux : L’affectation des plus-values… capitalisation, distribution ou report ?",Vrai," Vrai",True,True,True,True
37,"True/False : F est en USD, pas en EUR ?",Faux," False",True,True,True,True
38,1 seule action F c'est le minimum ? Vrai ou faux ?,Vrai," Vrai",True,True,True,True
39,Est-il vrai que l’action F ne prévoit aucune option autre que la capitalisation pour les revenus générés ?,Faux," Non",True,True,True,True
40,R C EUR : C'est pour tous les types d'investisseurs ?,Oui," Non",False,False,False,False
41,T C EUR = Permet-t-elle le versement de revenus aux investisseurs ?,Non," Non",True,True,True,True
42,"Concernant les actions, est-il admis que ces dernières soient divisés en parts inférieures ?",Oui," Oui",True,True,True,True
43,Exposition au risque de taux de conversion monétaire pour le portefeuille ?,Oui," Residuel dû à une couverture inadéquate des positions en devises",False,False,False,False
44,"Hormis les charges directes, y a-t-il des frais non directs maximum facturés à l'OPCVM ?",Non," Oui",False,False,False,False
45,"Est-ce que chaque transaction, quelle qu'elle soit, entraîne systématiquement des frais transactionnels ?",Oui," Non",False,False,False,False
46,"Sensibilité aux fluctuations monétaires non-USD pour le portefeuille, oui ou non ?",Oui," Oui",True,True,True,True
47,"Vrai ou Faux : Est-il exact que ce fonds, dont nous discutons ici, peut être totalement exposé au risque de change en devises autres que le dollar américain ?",Vrai," Faux",False,False,False,False
48,"Lors de la souscription ou du rachat des parts de ce dispositif d'investissement, des prélèvements initiaux ou terminaux sont-ils exigés ?",Non," Non",True,True,True,True
49,"Vrai ou Faux : La structure de gestion de ce même fonds, dont nous analysons les caractéristiques maintenant, prélève-t-elle une rémunération additionnelle si la performance enregistrée dépasse un seuil prédéfini ?",Faux," Vrai",False,False,False,False
50,"Vrai ou Faux : Les frais d'entrée, ça peut monter jusqu'à deux %?",Vrai," Vrai",True,True,True,True
51,Est-il exact d'affirmer que les charges récurrentes associées à la gestion de ce portefeuille d'investissement s'établissent à un pour cent ?,Faux," Non",True,True,True,True
52,Le gestionnaire de ce véhicule de placement est en droit de percevoir une rétribution additionnelle conditionnée par l'atteinte ou le dépassement d'objectifs de rendement spécifiques ?,Faux," Non",True,True,True,True
53,Est-il avéré que les prélèvements occasionnés lors du rachat des parts de cet investissement peuvent s'élever jusqu'à une proportion maximale d'un pour cent ?,Vrai," Oui",True,True,True,True
54,"Ces coûts d'accès, relatifs à l'investissement, sont de manière universelle imposés, nonobstant le fait que l'opération d'acquisition ait lieu sur une place boursière ?",Faux," Non",True,True,True,True
55,"Les frais habituels sont-ils, genre, demandés tous les ans ? Oui ou Non ?",Oui," Oui",True,True,True,True
56,"Vrai / Faux Dans l'hypothèse où les titres de cette structure sont négociés en bourse, des coûts d'acquisition initiaux sont exigibles ?",Non," Faux",True,True,True,True
57,"Les frais de sortie peuvent-ils être, euh, nuls dans certaines situations ?",Oui," Oui",True,True,True,True
58,Des prélèvements sont-ils exigibles lorsque l'on se retire du placement étudié ici ?,Oui," Oui",True,True,True,True
59,"D'après ce document, une rétribution basée sur les résultats est-elle appliquée pour ce fonds ?",Oui," Oui",True,True,True,True
60,Des frais de surperformance ont-ils été appliqués durant la dernière période de référence présentée ici?,Non," Non",True,True,True,True
61,Des frais de sortie sont-ils imposés si l'on quitte ce produit ?,Non," Oui",False,False,False,False
62,A-t-on instauré un nouveau cycle d'observation spécifique au cours de cette Année 2 mentionnée ?,Oui," Oui",True,True,True,True
63,A-t-on inauguré un cycle d'évaluation inédit durant cette Année 4 dont nous examinons les données actuellement ?,Non," Non",True,True,True,True
64,"L'entité chargée des transferts de parts est localisée là-bas, à Dublin.",Vrai," Oui",True,True,True,True
65,"Vrai ou Faux : Le gardien des actifs de ce fonds se trouve bien ici, à Londres.",Faux," Faux",True,True,True,True
66,"Janus Henderson Investors UK Limited, cette entité que nous avons sous les yeux, figure-t-elle parmi les chargé de commercialisation et de vente des parts de ce fonds ?",Oui," Non",False,False,False,False
67,L'instigateur de ce fonds est-il identique à la structure qui en assure le conseil en investissement à l'heure actuelle ?,Oui," Oui",True,True,True,True
68,Est-il possible de réaliser un investissement supplémentaire (plus tard) dans cette Catégorie I ?,Non," Oui",False,False,False,False
69,"Existe-t-il un écart entre les seuils d'investissement minimaux exprimés en USD et en EUR, pour cette Catégorie Z que nous observons ici ?",Oui," Oui",True,True,True,True
