id,file,question,answer,prediction,evaluation
1,kiid_arbevel_FR0000422842-fr_chart1.pdf,Ce graphique compare t-il la performance annuelle du fonds PLUVALCA ALLCAPS – part A avec celle de son indice de référence : le SBF 120 Net TR ?,Oui, Oui,True
2,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quelle est la période couverte par ce graphique ?,"Le graphique couvre la période de 2012 à 2021, soit 10 années complètes de performances.", 2012-2021,True
3,kiid_arbevel_FR0000422842-fr_chart1.pdf,Y a-t-il eu des années où la performance du fonds a été négative ?,Oui, Oui,True
4,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quel est le nom du fonds présenté dans ce graphique ?,PLUVALCA ALLCAPS, PLUVALCA ALLCAPS - ACTION A,False
5,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quelle est la date de création du compartiment (le fonds) ?,15 septembre 2017, 15/09/2017,True
6,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quelle est la date de création de la part A (ACTION A),15 septembre 2017, 15/09/2017,True
7,kiid_arbevel_FR0000422842-fr_chart1.pdf,Le nom du Fonds parapluie est-il mentionné ?,Non, Non,True
8,kiid_arbevel_FR0000422842-fr_chart1.pdf,En quelle devise le fonds est-il libellé ?,Euros, Euro,True
9,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quel est l’indicateur de référence utilisé par le fonds ?,SBF 120 NET TR, PLUVALCA ALLCAPS - ACTION A,False
10,kiid_arbevel_FR0000422842-fr_chart1.pdf,Quelle a été la performance du fonds PLUVALCA ALLCAPS – Action A en 2021 ?,"20,5 %

", -18.3%,False
11,kiid_antenor_FR0007078688-fr_chart1.pdf,Quelle est la meilleure performance annuelle réalisée par le fonds Antenor ?,2013," 5,88%",False
12,kiid_antenor_FR0007078688-fr_chart1.pdf,Quelle est la pire performance annuelle enregistrée ?,2008," -15,43%",False
13,kiid_antenor_FR0007078688-fr_chart1.pdf,Combien d'années positives le fonds a-t-il eu ?,7, 6,False
14,kiid_antenor_FR0007078688-fr_chart1.pdf,Combien d'années négatives le fonds a-t-il eu ?,4, 3,False
15,kiid_antenor_FR0007078688-fr_chart1.pdf,Ces performances incluent-elles les frais ?,Oui, Non,False
16,kiid_allianz_FR0000017329-fr_chart1.pdf,Quelle a été la performance du fonds en 2018 ?,"-12,9%", 26.5%,False
17,kiid_allianz_FR0000017329-fr_chart1.pdf,Est-ce que 2018 a été la pire année de la période représentée ?,Oui, Oui,True
18,kiid_allianz_FR0000017329-fr_chart1.pdf,Quelle a été la performance de l'OPCVM en 2013 ?,"19,8%", 19.8%,True
19,kiid_allianz_FR0000017329-fr_chart1.pdf,Quelle est la devise de calcul de la performance ?,Euro, EUR,True
20,prospectus_mandarine_fr0012144590-fr_chart1.pdf,Pendant combien de périodes la cristallisation a-t-elle eu lieu sur l’ensemble des périodes représentées ?,2, 2,True
21,prospectus_mandarine_fr0012144590-fr_chart1.pdf,Quelle est la première période où une cristallisation est observée ?,La cristallisation est observée à la fin de la période 0–1., 1,False
22,prospectus_mandarine_fr0012144590-fr_chart1.pdf,Combien de périodes consécutives sans cristallisation sont visibles sur le graphique ?,"Trois périodes consécutives (1–2, 2–3, 3–4) sans cristallisation.", 3,True
23,prospectus_mandarine_fr0012144590-fr_chart1.pdf,Y a-t-il eu une cristallisation l’année 6 ?,Oui, Non,False
24,kiid_alienor_FR0010526061-fr_chart1.pdf,Quels types d'actifs composent le nouvel indice de référence depuis 2021 ?,15% CAC Total Return ; 10% MSCI World Net Total Return ; 35% Euro MTS 5-7 ans ; 40% ESTR Capitalisé," 15% CAC 40, 10% MSCI World, 35% ETFs MSCI 5-7 ans et 40% ETFs Capitalisé",False
25,kiid_alienor_FR0010526061-fr_chart1.pdf,Depuis quand l’OPCVM existe-t-il ?,2007-09-10T00:00:00, 2007,True
26,kiid_alienor_FR0010526061-fr_chart1.pdf,Les frais d'entrée et de sortie sont-ils inclus dans le calcul des performances passées ?,Non, Non,True
27,kiid_alienor_FR0010526061-fr_chart1.pdf,Quelle a été la pire année pour l’OPCVM ?,2011, 2012,False
28,kiid_alienor_FR0010526061-fr_chart1.pdf,Combien de fois la performance de l’OPCVM a-t-elle dépassé les 4% ?,3, 5,False
29,prospectus_amundi_fr0010599373-fr_chart1.pdf,Quelle a été la meilleure année pour le fonds ?,2019, 2018,False
30,prospectus_amundi_fr0010599373-fr_chart1.pdf,Qu’indique la lettre B sur le graphique ?,Le fonds devient nourricier, Indice de référence,False
31,prospectus_amundi_fr0010599373-fr_chart1.pdf,Quelle a été la performance annuelle de l’indice de référence en 2016 ?,"4,4 %", 12.7%,False
32,prospectus_amundi_fr0010599373-fr_chart1.pdf,L’OPCVM avait-il le statut de fonds nourricier en 2014 ?,Non, Oui,False
33,prospectus_amundi_fr0010599373-fr_chart1.pdf,Quel est le nom complet du produit financier présenté dans ce contenu ?,Amundi Actions Euro - Part P, AMUND ACTIVOS EURO - P,False
34,prospectus_amundi_fr0010599373-fr_chart1.pdf,Quelle a été la performance du fonds Amundi Actions Euro - P en 2020 ?,"-1,8 %"," -12,5%",False
35,prospectus_amundi_fr0010599373-fr_chart2.pdf,"Dans l'exemple du graphique, la part sous-performe-t-elle l’actif de référence pendant toute la période de 5 ans ?",Oui, Non,False
36,prospectus_amundi_fr0010599373-fr_chart2.pdf,"Dans l'exemple du graphique, une commission de surperformance est-elle dûe la cinquième année ?",Non, Non,True
37,prospectus_amundi_fr0010599373-fr_chart2.pdf,En quelle année l'écart cumulé est-il le plus important ?,Année 1, Année 2,False
38,prospectus_amundi_fr0010599373-fr_chart2.pdf,Que représente la ligne bleue claire ?,Actif net de la part, Actif net de la part,True
39,prospectus_amundi_fr0010599373-fr_chart3.pdf,"Dans le tableau intitulé ""Cas d'une sous performance compensée"", quel est l'actif net de la part en Année 1?",-2, 98,False
40,prospectus_amundi_fr0010599373-fr_chart3.pdf,La part est-elle en sous-performance au départ dans le graphique?,Oui, Oui,True
41,prospectus_amundi_fr0010599373-fr_chart3.pdf,"Dans le graphique, le fait que la courbe bleue claire passe au dessus de la bleue foncée signifie t-il que la part a dépassé l'actif de référence ?",Oui, Non,False
42,kiid_axiom_LU1876460061-fr_chart1.pdf,En quelle année le fonds a-t-il connu sa meilleure performance ?,2019, 2019,True
43,kiid_axiom_LU1876460061-fr_chart1.pdf,Quelle est la seule année de perte enregistrée sur la période ?,2018, 2018,True
44,kiid_axiom_LU1876460061-fr_chart1.pdf,Pourquoi les performances affichées avant 2019 ne reflètent-elles pas totalement la réalité du fonds actuel ?,A : La performance passée est basée sur la performance passée du fonds français absorbé créé en 2016., Le fonds français absorbé créé en 2016.,False
45,kiid_axiom_LU1876460061-fr_chart1.pdf,Quel changement majeur a eu lieu en 2021 concernant l’indice de référence ?,"À compter du 02.12.2021, l’indice de référence est l’€STR capitalisé +2 %", L'indice de référence a été changé à partir du 02.12.2021.,True
46,kiid_axiom_LU1876460061-fr_chart1.pdf,Les performances affichées tiennent-elles compte des frais du fonds ?,Oui, Oui,True
47,kiid_bnp_LU1291109293-fr_chart1.pdf,Le fonds a-t-il mieux performé que son indice de référence en 2019 ?,Non, Oui,False
48,kiid_bnp_LU1291109293-fr_chart1.pdf,"En 2021, le fonds a-t-il surperformé l’indice ?",Non, Oui,False
49,kiid_bnp_LU1291109293-fr_chart1.pdf,"Durant la période 2012 à 2021, quelle année le fonds a-t-il enregistré son rendement le plus élevé, indépendamment de l’indice de référence ?",2019, 2017,False
50,kiid_bnp_LU1291109293-fr_chart1.pdf,Quel est le nom de l'indice de référence utilisé à partir de février 2016 ?,NMX 30 Infrastructure Global (TR), NAM100 Infrastructure Global,False
51,kiid_bnp_LU1291109293-fr_chart1.pdf,Quel est le nom du compartiment effectivement réprésenté entre février 2008 et février 2016 dans le graphique?,NMX®30 Infrastructure Global THEAM Easy UCITS ETF, ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,False
52,kiid_bnp_LU1291109293-fr_chart1.pdf,Quelle était la dénomination du fonds entre février 2016 et avril 2021 ?,NMX 30 Infrastructure Global, ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,False
53,kiid_bnp_LU1291109293-fr_chart1.pdf,"D’après la légende, à quel fonds correspondent les barres bleues du graphique des performances passées ?",ECPI GLOBAL ESG INFRASTRUCTURE, ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,False
54,kiid_bnp_LU1291109293-fr_chart1.pdf,Quelle est la phrase dans le document qui explique pourquoi les performances du “NMX®30 Infrastructure Global THEAM Easy UCITS ETF” sont utilisées pour illustrer celles du fonds actuellement commercialisé sous le nom “BNP PARIBAS EASY NMX® 30 INFRASTRUCTURE GLOBAL” ?,"02/2008-02/2016: À la suite d’une opération sur titres le 05/02/2016, les performances indiquées correspondent à celles du compartiment «NMX®30 Infrastructure Global THEAM Easy UCITS ETF». Le compartiment «BNP PARIBAS EASY NMX® 30 INFRASTRUCTURE GLOBAL» est géré conformément à une stratégie d’investissement, des processus et des frais absolument identiques."," A: 02/06/2016 : À la suite d'une opération sur titres du 05/06/2016, les performances indiquées correspondent à celles du compartiment « NMX®30 Infrastructure Global THEAM Easy UCITS ETF »",False
55,kiid_wiseam_FR0010291187-fr_chart1.pdf,Quelle a été la meilleure année pour le fonds Apprecio E entre 2011 et 2020 ?,2012, 2013,False
56,kiid_wiseam_FR0010291187-fr_chart1.pdf,En quelle année le fonds a-t-il enregistré sa pire performance ?,2018, 2018,True
57,kiid_wiseam_FR0010291187-fr_chart1.pdf,Le fonds Apprecio E a-t-il surperformé l’indicateur de référence en 2017 ?,Oui, Oui,True
58,kiid_wiseam_FR0010291187-fr_chart1.pdf,"En 2019, le fonds a-t-il enregistré une performance supérieure à 5 % ?",Oui, Non,False
59,kiid_wiseam_FR0010291187-fr_chart1.pdf,Quelle est la seule année où la performance du fonds et celle de l’indice sont quasiment identiques ?,2017, 2019,False
60,kiid_wiseam_FR0010291187-fr_chart1.pdf,Comment est calculée la performance du fonds Apprecio E ?,"coupons nets réinvestis, et nette de frais de gestion directs et indirects et hors frais d’entrée et de sortie", coups nets réinvestis,False
61,kiid_wiseam_FR0010291187-fr_chart1.pdf,Quand a été créé le fonds Apprecio E ?,28/04/2006, 1er janvier 2011,False
62,kiid_wiseam_FR0010291187-fr_chart1.pdf,Quel changement au niveau du dépositaire est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM et de dépositaire de Banque Leonardo à Crédit Industriel et Commercial (CIC), Changement de société de gestion de VP FINANCE GESTION à WiseAM et de dépositaire de Banque Changement à Crédit Industriel et Commercial (CIC),False
63,kiid_wiseam_FR0010291187-fr_chart1.pdf,Quel changement au niveau de la société de gestion est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM, changement de société de gestion de VP FINANCE GESTION à WiseAM,True
64,kiid_varenne_FR0010392225-fr_chart1.pdf,En quelle année la part A-EUR du fonds a-t-elle enregistré sa meilleure performance annuelle ?,2013, 2013,True
65,kiid_varenne_FR0010392225-fr_chart1.pdf,Quelle a été la pire performance du fonds entre 2011 et 2020 ?,2018," -4,79%",False
66,kiid_varenne_FR0010392225-fr_chart1.pdf,Quelle est la performance du fonds en 2020 ?,"22,72%", 22.73%,False
67,kiid_varenne_FR0010392225-fr_chart1.pdf,Y a-t-il une année où le fonds a enregistré une performance proche de zéro ?,Oui," Oui, en 2019.",True
68,kiid_varenne_FR0010392225-fr_chart1.pdf,Comment la performance du fonds est-elle calculée ?,coupons nets réinvestis et hors frais d’entrée, coupons nets réinvestis et hors frais d'entrée,True
69,kiid_varenne_FR0010392225-fr_chart1.pdf,Quelle est la devise utilisée pour calculer les performances ?,euro, Euro,True
70,kiid_varenne_FR0010392225-fr_chart1.pdf,Depuis quand la part A-EUR du fonds existe-t-elle ?,1er décembre 2006, 1er décembre 2006,True
71,kiid_varenne_FR0010392225-fr_chart1.pdf,Le fonds est-il comparé à un indice de référence dans ce document ?,Non, Non,True
72,kiid_varenne_FR0010392225-fr_chart1.pdf,"Quel est le nom complet du fonds figurant dans la rubrique “Performances passées”, et à quelle classe de part correspond-il ?",Varenne Selection part A-EU, Varenne Selection part A-EUR,False
73,prospectus_Candriam_Bonds_Euro_High_Yield_Pr_2025-fr_chart1.pdf,À combien s’élève le taux de commission de surperformance dans cet exemple ?,20 %, 20%,True
74,prospectus_Candriam_Bonds_Euro_High_Yield_Pr_2025-fr_chart1.pdf,Le mécanisme de clawback a-t-il empêché la facturation d'une commission en année 9 ?,Oui, Oui,True
75,prospectus_Candriam_Bonds_Euro_High_Yield_Pr_2025-fr_chart1.pdf,Y a t-il eu un commission de surperformance à payer en année 3 ?,Non, Non,True
76,prospectus_Candriam_Bonds_Euro_High_Yield_Pr_2025-fr_chart1.pdf,"En année 6, le fonds a-t-il récupéré toute sa sous-performance ?",Non, Non,True
77,prospectus_Schelcher Prince-fr_chart1.pdf,En quelle année une sous-performance de -10 % est enregistrée ?,Y8, 2012,False
78,prospectus_Schelcher Prince-fr_chart1.pdf,En quelle année la performance du fonds est-elle tombée à -5 % ?,Y3, 2012,False
79,prospectus_Schelcher Prince-fr_chart1.pdf,Quelle est la performance du fonds en année 1 ?,5 %, 102,False
80,prospectus_Schelcher Prince-fr_chart1.pdf,Une  commission de performance est-elle dûe la sixième année ?,Oui, Non,False
81,prospectus_candriam-Equities-L-Biotechnology-Class-C-EUR-Cap-2023-fr_chart1.pdf,En quelle(s) année(s) observe-t-on un prélèvement de frais de surperformance ?,Année 2 ; Année 5," Année 1, Année 2",False
82,prospectus_candriam-Equities-L-Biotechnology-Class-C-EUR-Cap-2023-fr_chart1.pdf,"En année 3, y a-t-il une commission de surperformance prélevée ?",Non, Non,True
