id,question,answer,prediction,google__gemma-3-27b-it,Qwen__Qwen3-32B,meta-llama__Llama-3.3-70B-Instruct,majority_vote
1,"Si j’investis 25 000 $ et que le scénario favorable se réalise au bout d’un an, combien vais-je obtenir environ à la fin de l’année ?
A. 29 500 $
B. 38 375 $
C. 39 725 $
D. 40 000 $",C,C. 39 725 $,True,True,True,True
2,"Et par curiosité, cette valeur-là, elle dépasse de combien celle du scénario intermédiaire sur la même période ?
A. Environ 7 625 $
B. Un peu plus de 5 000 $
C. 12 275 $
D. C’est équivalent",C,A. Environ 7 625 $,False,False,False,False
3,"OK, mais si je me projette sur 5 ans avec ce même scénario, j’atteins quoi comme montant final ?
A. 32 000 $
B. 37 250 $
C. 39 750 $
D. 43 750 $",B,D. 43 750 $,False,False,False,False
4,"Ah oui tiens, et avec le scénario de tensions sur 1 an avec la somme que j’ai investie… je perds combien en gros ?
A. 9 250 $
B. 12 750 $
C. 11 625 $
D. 19 650 $",C,C. 11 625 $,True,True,True,True
5,"Et si je garde mes 25 000 $ 5 ans dans ce même scénario de tensions, je retombe à quoi ?
A. 5 275 $
B. 8 000 $
C. 13 275 $
D. 5 000 $",A,A. 5 275 $,True,True,True,True
6,"Et dans le scénario défavorable sur 5 ans, mon capital fond de combien en % sur toute la période ?
A. 8 %
B. 0,8 %
C. 3,8 %
D. Impossible à dire",C,"C. 3,8 %",True,True,True,True
7,"Et si j’investis 25 000 $ avec le même scénario, et j’applique la même baisse au bout de 5 ans. J’obtiens environ ?
A. 24 050 $
B. 24 010 $
C. 24 000 $
D. 23 900 $",A,A. 24 050 $,True,True,True,True
8,"Et à l’inverse, sur 5 ans en scénario favorable, mon capital passe à combien ?
A. 49 275 $
B. 41 250 $
C. 49 275 $
D. 36 000 $",A,A. 49 275 $,True,True,True,True
9,"Tu saurais me dire combien j’aurais gagné net dans ce cas-là (scénario favorable sur 5 ans) ?
A. 25 000 $
B. 24 275 $
C. 14 275 $
D. Impossible à dire sans les impôts",B,B. 24 275 $,True,True,True,True
10,"Mais est-ce que ce tableau me permet de savoir ce que je toucherais exactement une fois mes impôts retirés ?
A. Oui, c’est dans la dernière colonne
B. Oui, en calculant bien
C. Non, ce n’est pas indiqué
D. Seulement pour les rendements positifs",C,"C. Non, ce n’est pas indiqué",True,True,True,True
11,"Si je place 25 000 € sur la part A, combien me coûteraient les frais d’entrée maximum ?
A. 500 €
B. 2 %
C. 625 €
D. 700 €",A,A. 500 €,True,True,True,True
12,"Et si je prends cette même somme pour la part I ou R, j’aurais une différence au niveau des frais ?
A. Oui, les frais sont plus élevés pour la part R
B. Non, c’est toujours 2 %, donc le même coût
C. Oui, car la TVA est différente
D. On ne peut pas savoir",B,"B. Non, c’est toujours 2 %, donc le même coût",True,True,True,True
13,"Et côté sortie, si je retire la totalité, combien cela va me couter ?
A. 1 %
B. Il n’y a pas de frais de sortie
C. environ 0,5 %
D. Cela dépend de la part",B,B. Il n’y a pas de frais de sortie,True,True,True,True
