id,question,answer,prediction,google__gemma-3-27b-it,Qwen__Qwen3-32B,meta-llama__Llama-3.3-70B-Instruct,majority_vote
1,Ce graphique compare t-il la performance annuelle du fonds PLUVALCA ALLCAPS – part A avec celle de son indice de référence : le SBF 120 Net TR ?,Oui, Yes.,True,True,True,True
2,Quelle est la période couverte par ce graphique ?,"Le graphique couvre la période de 2012 à 2021, soit 10 années complètes de performances.", 2012-2021,True,True,True,True
3,Y a-t-il eu des années où la performance du fonds a été négative ?,Oui, Yes.,True,True,True,True
4,Quel est le nom du fonds présenté dans ce graphique ?,PLUVALCA ALLCAPS, PLUVALCA ALLCAPS,True,True,True,True
5,Quelle est la date de création du compartiment (le fonds) ?,15 septembre 2017, 15/09/2017,True,True,True,True
6,Quelle est la date de création de la part A (ACTION A),15 septembre 2017, 15/09/2017,True,True,True,True
7,Le nom du Fonds parapluie est-il mentionné ?,Non, PLUVALCA,False,False,False,False
8,En quelle devise le fonds est-il libellé ?,Euros, Euro,False,True,True,True
9,Quel est l’indicateur de référence utilisé par le fonds ?,SBF 120 NET TR, SBF 120 NET TR (clôture),True,True,True,True
10,Quelle a été la performance du fonds PLUVALCA ALLCAPS – Action A en 2021 ?,"20,5 %

", 20.8%,False,False,False,False
11,Quelle est la meilleure performance annuelle réalisée par le fonds Antenor ?,2013," 10,00%",False,False,False,False
12,Quelle est la pire performance annuelle enregistrée ?,2008," -15,43%",False,False,False,False
13,Combien d'années positives le fonds a-t-il eu ?,7, 6,False,False,False,False
14,Combien d'années négatives le fonds a-t-il eu ?,4, 3,False,False,False,False
15,Ces performances incluent-elles les frais ?,Oui, Oui.,True,True,True,True
16,Quelle a été la performance du fonds en 2018 ?,"-12,9%", -12.9,True,True,True,True
17,Est-ce que 2018 a été la pire année de la période représentée ?,Oui, Oui.,True,True,True,True
18,Quelle a été la performance de l'OPCVM en 2013 ?,"19,8%", 11.9,False,False,False,False
19,Quelle est la devise de calcul de la performance ?,Euro, EUR,True,True,True,True
20,Pendant combien de périodes la cristallisation a-t-elle eu lieu sur l’ensemble des périodes représentées ?,2, 3,False,False,False,False
21,Quelle est la première période où une cristallisation est observée ?,La cristallisation est observée à la fin de la période 0–1., Année 1,True,False,False,False
22,Combien de périodes consécutives sans cristallisation sont visibles sur le graphique ?,"Trois périodes consécutives (1–2, 2–3, 3–4) sans cristallisation.", 3,True,True,True,True
23,Y a-t-il eu une cristallisation l’année 6 ?,Oui, Oui.,True,True,True,True
24,Quels types d'actifs composent le nouvel indice de référence depuis 2021 ?,15% CAC Total Return ; 10% MSCI World Net Total Return ; 35% Euro MTS 5-7 ans ; 40% ESTR Capitalisé," MSCI World Net Total Return, 35% d'Euro MTS 3-7 ans et 40% d'ESTR Capitalisés.",False,False,False,False
25,Depuis quand l’OPCVM existe-t-il ?,2007-09-10T00:00:00, Depuis 2010.,False,False,False,False
26,Les frais d'entrée et de sortie sont-ils inclus dans le calcul des performances passées ?,Non, Non.,True,True,True,True
27,Quelle a été la pire année pour l’OPCVM ?,2011, 2011,True,True,True,True
28,Combien de fois la performance de l’OPCVM a-t-elle dépassé les 4% ?,3, 2,False,False,False,False
29,Quelle a été la meilleure année pour le fonds ?,2019, 2019,True,True,True,True
30,Qu’indique la lettre B sur le graphique ?,Le fonds devient nourricier, La devise de référence est Euro (EUR).,False,False,False,False
31,Quelle a été la performance annuelle de l’indice de référence en 2016 ?,"4,4 %", 1.6%,False,False,False,False
32,L’OPCVM avait-il le statut de fonds nourricier en 2014 ?,Non, Non.,True,True,True,True
33,Quel est le nom complet du produit financier présenté dans ce contenu ?,Amundi Actions Euro - Part P, OPCVM,False,False,False,False
34,Quelle a été la performance du fonds Amundi Actions Euro - P en 2020 ?,"-1,8 %", -0.6%,False,False,False,False
