id,file,question,answer,prediction,evaluation
1,prospectus_amundi_FR0010655761-fr_Table1.pdf,Est-ce qu'il faut souscrire à au moins 6800 parts pour commencer sur le marché principal ?,Oui, Yes.,True
2,prospectus_amundi_FR0010655761-fr_Table1.pdf,C’est accessible à n’importe quel investisseur ce produit-là ?,Oui, No.,False
3,prospectus_amundi_FR0010655761-fr_Table1.pdf,"VL de départ > 100 euros, c’est le cas ?",Oui, Yes.,True
4,prospectus_amundi_FR0010655761-fr_Table1.pdf,Vrai ou faux : la VL initiale dépasse les 100 €,Oui, True.,True
5,prospectus_amundi_FR0010655761-fr_Table1.pdf,Est-ce que les gains sont toujours réinvestis automatiquement (capitalisation only) ?,Non, Yes.,False
6,prospectus_amundi_FR0010655761-fr_Table3.pdf,"Le montant prélevé à l’entrée, sans être affecté au fonds, correspond-il à 3 % ?",Oui, Yes.,True
7,prospectus_amundi_FR0010655761-fr_Table3.pdf,Est-ce qu’il y a un % de frais d’entrée qui va au fonds directement ?,Non, Non.,True
8,prospectus_amundi_FR0010655761-fr_Table3.pdf,Faut-il payer 3% de prélèvement non reversé au fonds quand on sort ?,Oui, Oui.,True
9,prospectus_amundi_FR0010655761-fr_Table3.pdf,Le fonds récupère t-il un peu des frais de sortie ou pas ?,Non, Oui.,False
10,prospectus_amundi_FR0010655761-fr_Table3.pdf,Les frais sont-ils calculés en multipliant la VL par le nb de parts ?,Oui," Yes.



",True
11,priip_primonial_FR0013228715-fr_Table1.pdf,Cette classe d’actions a-t-elle des exit fees ?,Non," 0,00 %",False
12,priip_primonial_FR0013228715-fr_Table1.pdf,"Sortir de cet OPCI, ça coûte quelque chose ou c’est gratuit ?",Non, C’est gratuit.,True
13,priip_primonial_FR0013228715-fr_Table2.pdf,Frais d’exploitation des biens = inclus dans les frais courants ? (V/F),Vrai, V,True
14,priip_primonial_FR0013228715-fr_Table2.pdf,"Les frais dépassent 3 % de l’actif net, c’est vrai ou c’est du fake ?",Faux, True.,False
15,priip_primonial_FR0013228715-fr_Table2.pdf,La perf fee est prise chaque année peu importe les résultats ? Vrai ou faux ?,Faux, Faux.,True
16,priip_primonial_FR0013228715-fr_Table2.pdf,Les frais changent-ils selon les années ?,Oui, Yes.,True
17,priip_primonial_FR0013228715-fr_Table2.pdf,Ce fonds-là prend une perf fee ?,Oui, Yes.,True
