id,file,question,answer,prediction,evaluation
1,prospectus_amundi_FR0010655761-fr_Table1.pdf,Est-ce qu'il faut souscrire à au moins 6800 parts pour commencer sur le marché principal ?,Oui, Oui,True
2,prospectus_amundi_FR0010655761-fr_Table1.pdf,C’est accessible à n’importe quel investisseur ce produit-là ?,Oui," Oui, tous souscripteurs.",True
3,prospectus_amundi_FR0010655761-fr_Table1.pdf,"VL de départ > 100 euros, c’est le cas ?",Oui, Oui,True
4,prospectus_amundi_FR0010655761-fr_Table1.pdf,Vrai ou faux : la VL initiale dépasse les 100 €,Oui, Vrai,True
5,prospectus_amundi_FR0010655761-fr_Table1.pdf,Est-ce que les gains sont toujours réinvestis automatiquement (capitalisation only) ?,Non, Oui,False
6,prospectus_amundi_FR0010655761-fr_Table3.pdf,"Le montant prélevé à l’entrée, sans être affecté au fonds, correspond-il à 3 % ?",Oui, Oui,True
7,prospectus_amundi_FR0010655761-fr_Table3.pdf,Est-ce qu’il y a un % de frais d’entrée qui va au fonds directement ?,Non, Non,True
8,prospectus_amundi_FR0010655761-fr_Table3.pdf,Faut-il payer 3% de prélèvement non reversé au fonds quand on sort ?,Oui, Oui,True
9,prospectus_amundi_FR0010655761-fr_Table3.pdf,Le fonds récupère t-il un peu des frais de sortie ou pas ?,Non," Non, le fonds ne récupère pas de frais de sortie.",True
10,prospectus_amundi_FR0010655761-fr_Table3.pdf,Les frais sont-ils calculés en multipliant la VL par le nb de parts ?,Oui, Oui,True
11,priip_primonial_FR0013228715-fr_Table1.pdf,Cette classe d’actions a-t-elle des exit fees ?,Non, Non,True
12,priip_primonial_FR0013228715-fr_Table1.pdf,"Sortir de cet OPCI, ça coûte quelque chose ou c’est gratuit ?",Non, C’est gratuit.,True
13,priip_primonial_FR0013228715-fr_Table2.pdf,Frais d’exploitation des biens = inclus dans les frais courants ? (V/F),Vrai, V,True
14,priip_primonial_FR0013228715-fr_Table2.pdf,"Les frais dépassent 3 % de l’actif net, c’est vrai ou c’est du fake ?",Faux, Fake,True
15,priip_primonial_FR0013228715-fr_Table2.pdf,La perf fee est prise chaque année peu importe les résultats ? Vrai ou faux ?,Faux, Faux,True
16,priip_primonial_FR0013228715-fr_Table2.pdf,Les frais changent-ils selon les années ?,Oui," Oui, les frais changent selon les années.",True
17,priip_primonial_FR0013228715-fr_Table2.pdf,Ce fonds-là prend une perf fee ?,Oui," Oui, il prend une commission de performance de 20% (HT) sur la différence entre la valeur liquidative coupon réinvesti au 31/12/N et la valeur liquidative au 31/12/N-1, améliorée de 5%, sous réserve que",True
18,priip_primonial_FR0013228715-fr_Table2.pdf,Est-ce que les frais réguliers peuvent fluctuer ?,Oui," Non, les frais réguliers sont fixes et exprimés en pourcentage du TTC de l’actif net.",False
19,prospectus_amundi-000109767-fr_Table1.pdf,On y trouve autre chose que le risque dans ce tableau ou pas ?,Non," Oui, on y trouve aussi le rendement potentiel.",False
20,prospectus_amundi-000109767-fr_Table2.pdf,Est-ce que ça coûte quelque chose pour quitter le fonds ?,Non," Non, les frais de sortie sont nuls.",True
21,prospectus_amundi-000109767-fr_Table2.pdf,Ce FCPE-là il prend une perf fee ou pas ?,Non," Non, il ne prend pas de commission de performance.",True
22,prospectus_amundi-000109767-fr_Table3.pdf,Chaque part a bien un code officiel (AMF) attribué ?,Oui, Oui,True
23,prospectus_amundi-000109767-fr_Table3.pdf,Y en a-t-il qui distribuent le résultat plutôt que le capitalisent ?,Non, Non,True
24,prospectus_amundi-000109767-fr_Table3.pdf,F/V : Les parts E et F ont un code AMF mais pas d’ISIN ?,Vrai, V,True
25,prospectus_amundi-000109767-fr_Table4.pdf,On te fait payer à l’entrée ou à la sortie là-dessus ?,Non, À l’entrée (frais de souscription) et à la sortie (frais de rachat).,False
26,prospectus_amundi-000109767-fr_Table4.pdf,True or False: max gestion fees pour Amundi ESR PER = 1.10 % ?,Faux, False,True
27,prospectus_amundi-000109767-fr_Table4.pdf,V/F : C’est l’employeur qui couvre les coûts d’ESR - PER CA ?,Faux, Faux,True
28,prospectus_amundi-000109767-fr_Table5.pdf,Est-ce qu’on te colle une commission de surperformance si RETRAITE-C dépasse ses objectifs ?,Oui," Oui, une commission de surperformance de 20,00 % annuel de la performance au-delà de celle de l’actif de référence est prévue si RETRAITE-C dépasse ses objectifs.",True
29,priip_heptagon_IE00B3N32X37-2023-fr_Table2.pdf,Peuvent-ils ajouter des frais de sortie plus tard ?,Oui," Oui, les Administrateurs peuvent imposer une commission de rachat pouvant atteindre 3 % du produit du rachat, à leur discrétion.",True
30,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,Tout le monde peut acheter l’action F ou c’est limité ?,Non, C’est limité. Seuls les fonds gérés par les sociétés du Groupe La Française peuvent souscrire à l’action F.,True
31,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,"VL de base pour F = 100 euros, c’est bien ça ?",Oui, Oui,True
32,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,Elle est en euro cette action F ? Ou autre devise ?,Oui, EUR,True
33,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,Faut en prendre au moins 10 pour l’action F au début ?,Non," Non, le montant minimum de souscription initiale pour l’action F est de 1 action, soit 100 EUR. Il n’est pas nécessaire d’en prendre 10.",True
34,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,L’affectation des revenus de F peut-elle inclure une distribution ?,Oui, Non,False
35,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,Est-il exact que l’action F est ouverte à des entités institutionnelles extérieures à La Française ? (Vrai/Faux),Faux, Faux,True
36,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,"Vrai ou Faux : L’affectation des plus-values… capitalisation, distribution ou report ?",Vrai, Vrai,True
37,prospectus-Lafrancaise_fr0013439817-fr_Table1.pdf,"True/False : F est en USD, pas en EUR ?",Faux, False,True
