id,question,answer,prediction,meta-llama__Llama-3.3-70B-Instruct,Qwen__Qwen3-32B,google__gemma-3-27b-it,majority_vote
1,Quel est le code ISIN mentionné dans le tableau ?,FR0010655761," 
FR0013555761",False,False,False,False
2,Quelle est l’affectation des sommes distribuables ?,Capitalisation et/ou distribution par décision de la Société de Gestion.,"
Capitalisation et/ou distribution par décision de la prochaine Assemblée Générale",False,False,False,False
3,En quelle devise le fonds est-il libellé ?,euro,"
euro",True,True,True,True
4,À quelle fréquence est calculée la valeur liquidative ?,Quotidienne, Quotidienne,True,True,True,True
5,Quelle est la valeur liquidative d’origine ?,"103,49 euros"," 103,49 euros",True,True,True,True
6,Quelle est la souscription initiale minimale sur le marché primaire ?,6800 parts,"
6000 parts",False,False,False,False
7,Quelle est la souscription ultérieure minimale sur le marché primaire ?,1 part, 1 part(s),True,True,True,True
8,Quelle est la souscription initiale minimale sur le marché secondaire ?,1 part,"
1 part(s)",True,True,True,True
9,Quelle est la souscription ultérieure minimale sur le marché secondaire ?,1 part, 1 part(s),True,True,True,True
10,Quels sont les types de souscripteurs concernés ?,Tous souscripteurs,"
Tout souscripteur",True,True,True,True
11,La souscription initiale minimale sur le marché primaire est-elle de 6800 parts ?,Oui, Oui,True,True,True,True
12,Le produit est-il ouvert à tous les souscripteurs ?,Oui, Non,False,False,False,False
13,Quelle est la fréquence de calcul de la valeur liquidative ?,Quotidienne, Quotidienne,True,True,True,True
14,La valeur liquidative d’origine est-elle supérieure à 100 € ?,Oui, Oui,True,True,True,True
15,"La valeur liquidative d’origine est supérieure à 100 €, vrai ou faux ?",Oui, Vrai,True,True,True,True
16,L’affectation des sommes distribuables est-elle uniquement en capitalisation ?,Non, Oui,False,False,False,False
17,À quelle heure limite les ordres de souscription doivent-ils être centralisés ?,avant 17h00,"
17h00",False,True,True,True
18,À quelle heure limite les ordres de rachat doivent-ils être centralisés ?,avant 17h00,"
17h00",False,True,True,True
19,Quand l’exécution des ordres a-t-elle lieu ?,en J, J+1 ouvrable,False,False,False,False
20,Quand la valeur liquidative (VL) est-elle publiée ?,J+1 ouvré,"
J+1 ouvrés",True,True,True,True
21,À quelle date les souscriptions sont-elles réglées ?,J+2 ouvrés, J+2 ouvrés,True,True,True,True
22,À quelle date les rachats sont-ils réglés ?,J+2 ouvrés, J+2 ouvrés,True,True,True,True
23,Quel est le taux de la commission de souscription non acquise au fonds sur le marché concerné ?,3 % par demande de souscription, 3% par demande de souscription,True,True,True,True
24,Quel est le taux de la commission de rachat non acquise au fonds ?,3 % par demande de rachat, 3% par demande de rachat,True,True,True,True
25,Quelle est l’assiette utilisée pour le calcul des commissions de souscription et de rachat ?,Valeur liquidative × Nombre de parts, Valeur liquidative X Nombre de parts,True,True,True,True
26,La commission de souscription non acquise au fonds est-elle de 3 % ?,Oui, Oui,True,True,True,True
27,Une commission de souscription acquise au fonds est-elle prélevée ?,Non, Non,True,True,True,True
28,La commission de rachat non acquise au fonds est-elle de 3 % ?,Oui, Oui,True,True,True,True
29,Une commission de rachat acquise au fonds est-elle appliquée ?,Non, Non,True,True,True,True
30,La base de calcul des commissions est-elle : Valeur liquidative × Nombre de parts ?,Oui, Oui,True,True,True,True
31,Quel est le montant maximal des frais d’entrée ?,"5,00 %"," 5,00 %",True,True,True,True
32,Quel pourcentage des frais d’entrée est acquis à l’OPCI ?,"3,50 %"," 3,50 %",True,True,True,True
33,Y a-t-il des frais de sortie pour cette catégorie d’actions ?,Non, Non,True,True,True,True
34,À quoi servent les frais d’entrée acquis à l’OPCI ?,couvrir les frais  et taxes relatifs à l’acquisition ou à la cession d’actifs,"
Les frais d'entrée acquis à l'OPCI servent à couvrir les frais et taxes relatifs à l'acquisition ou à l'accession d'un actif.",True,True,True,True
35,Y a-t-il des frais de sortie pour cet OPCI ?,Non,"
Non",True,True,True,True
36,Quel est le pourcentage des frais courants annuels ?,"2,190 % TTC de l’actif net","
Les frais courants annuels sont de 2,100 % TTC de l'actif net.",False,False,False,False
37,Que comprennent les frais courants ?,"frais de gestion et de fonctionnement
frais d’exploitation immobilière","
- frais de gestion et de fonctionnement
- frais d'exploitation immobilière",True,True,True,True
38,L’OPCI applique-t-il une commission de performance ?,Oui, Oui,True,True,True,True
39,Vrai / Faux : Les frais d’exploitation immobilière font partie des frais courants.,Vrai, Vrai,True,True,True,True
40,Vrai / Faux : Le total des frais courants dépasse 3 % de l’actif net.,Faux, Vrai,False,False,False,False
41,Vrai / Faux : La commission de performance est systématiquement prélevée chaque année.,Faux, Faux,True,True,True,True
42,Est-ce que les frais peuvent varier d’une année sur l’autre ?,Oui," Oui, les frais prélevés par FOPCI peuvent varier d'une année sur l'autre, notamment en fonction des actions de catégorie «B» et des frais courants.",True,True,True,True
43,Quels sont les frais courants annuels prélevés par l’OPCI ?," 2,190 % TTC de l’actif net","
Les frais courants annuels prélevés par l’OPCI sont de 2,100 % TTC de l’actif net pour les frais de gestion et de fonctionnement, et de 1,606 % TTC de l’actif net pour",False,False,False,False
44,Comment se décomposent les frais courants ?,"frais de gestion de fonctionnement        1,606 % TTC de l’actif net ; frais d’exploitation immobilière        0,584 % TTC de l’actif net"," Les frais courants se décomposent en 2,100 % de TTC de facture net pour les frais de gestion et de fonctionnement et 1,606 % de TTC de facture net pour les frais d'exploitation immobilière",False,False,False,False
45,L’OPCI applique-t-il une commission de performance ?,Oui, Oui,True,True,True,True
46,Le montant des frais courants peut-il varier ?,Oui, Oui,True,True,True,True
47,Quel est le niveau de risque présenté dans ce tableau ?,6,"
Le niveau de risque présenté dans ce tableau est ""À risque plus élevé.""",False,False,False,False
48,Y a-t-d'autres informations que le niveau de risque dans ce tableau ? ,Non,"
Non",True,True,True,True
49,Quels sont les frais d’entrée maximum applicables dans ce tableau?,2 % maximum,"
2%",True,True,True,True
50,Y a-t-il des frais de sortie ?,Non,"
Oui, les frais de sortie sont de 2% maximum.",False,False,False,False
51,À combien s'élèvent les frais courants annuels prélevés par le FCPE ?,"1,87 % de l'actif net moyen","
Les frais courants annuels prélevés par le FCPE s'élèvent à 1,17 % de l'actif net moyen.",False,False,False,False
