id,file,question,answer,prediction,evaluation
1,prospectus_Schelcher Prince-fr_special_1.pdf,Quel est le niveau maximum d’engagement autorisé sur les instruments dérivés ?,100% de l’actif net, 100%,True
2,prospectus_Schelcher Prince-fr_special_1.pdf,Quels types de marchés sont utilisés pour les instruments dérivés ?,Marchés réglementés ; Marchés organisés ; Marchés de gré à gré," réglementés, organisés, de gré à gré.",True
3,prospectus_Schelcher Prince-fr_special_1.pdf,Quelle case n'est pas cochée parmi les risques sur lesquels le gérant désire intervenir ?,autres risques, action,False
4,prospectus_Schelcher Prince-fr_special_1.pdf,Quels sont les risques sur lesquels le gérant peut intervenir ?,action ; taux ; change ; crédit," action, taux, change, crédit.",True
5,prospectus_Schelcher Prince-fr_special_1.pdf,Quelles sont les interventions autorisées avec les instruments dérivés ?,couverture ; exposition," couverture, exposition, arbitrage, autre nature (à préciser).",False
6,prospectus_Schelcher Prince-fr_special_1.pdf,Quels instruments dérivés spécifiques peuvent être utilisés par le compartiment ?,Futures ; Options ; Swaps ; Change à terme ; Dérivés de crédit (CDS) ; Credit Default Swap (CDS)," Futures, options, change à terme, dérivés de crédit: Credit Default Swap (CDS).",True
7,prospectus_Schelcher Prince-fr_special_1.pdf,Est-il précisé que les anticipations du gestionnaire peuvent influencer l’usage des dérivés ?,Oui, Oui.,True
8,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_1.pdf,Quel est le taux maximum de commission de performance pouvant être prélevé ?,Aucune commission de performance d’une catégorie d’actions ne peut dépasser 10 % de sa VL quotidienne moyenne sur l’exercice financier annuel de la SICAV, 10 %,True
9,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_1.pdf,Dans quelles conditions la commission de performance est-elle comptabilisée selon le prospectus ?,VL ajustée > seuil plafond ajusté + taux de rendement minimal cumulé, Lorsque le VL ajusté est supérieur ou égal au taux de rendement minimal cumulé.,False
10,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_1.pdf,Le taux de rendement minimal cumulé est-il bien calculé selon cette formule :  taux de rendement  minimal × nombre de jours civils depuis le dernier paiement de la commission de performance (ou le lancement) ÷ nombre de jours civils dans l'année,Oui, Non.,False
11,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_1.pdf,"Selon ce document, quelle est la formule utilisée pour calculer la valeur liquidative ajustée (VL ajustée) d'une catégorie d’actions ?",actifs de la catégorie d’actions + tous les dividendes payés depuis le dernier paiement de la commission de performance (ou le lancement) + toute commission de performance comptabilisée (pas encore payée) - tout ajustement du swing pricing ÷ nombre d’actions = VL ajustée, VL ajustée = VL quotidien + ajustement du seuil plafond,False
12,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_1.pdf,À quel moment la commission de performance commence-t-elle à être comptabilisée dans la valeur liquidative ?,La commission de performance est comptabilisée lorsque VL ajustée > seuil plafond ajusté + taux de rendement minimal cumulé, Lorsque le VL ajusté est supérieur au taux de rendement minimal cumulé.,False
13,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quel est l’objectif principal du compartiment Japan Growth Fund ?,Le Compartiment cherche à atteindre une croissance du capital sur le long terme, Obtenir un rendement du capital sur le long terme.,True
14,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle proportion minimale des actifs est investie dans des actions japonaises ?,"Le Compartiment investit au moins 70 % de ses actifs dans des actions de sociétés qui sont cotées, qui ont leur siège social ou qui exercent la majeure partie de leur activité au Japon", 70%,True
15,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Dans quel but le fonds utilise t-il des instruments dérivés ?,"Le Compartiment peut utiliser des instruments dérivés à des fins de couverture, d’investissement et de gestion efficace du portefeuille", Pour désaisonner et améliorer le rendement du capital.,False
16,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quels instruments spécifiques peuvent être utilisés en plus des instruments dérivés de base ?,TRS (y compris des CFD) ; Prêt de titres ; Accords de prise et mise en pension, Actions,False
17,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle est la limite d’utilisation maximale des TRS dans le fonds ?,10 %, 10%,True
18,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle est l’indice de référence utilisé à titre comparatif ?,TOPIX Total Return Index, MSCI Japan,False
19,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle est la devise de référence du compartiment Japan Growth Fund?,JPY, devise,False
20,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle méthode de gestion des risques est utilisée ?,Par les engagements, Profil de l'investisseur,False
21,prospectus_fidelity_Fidelity-Funds-European-Growth-Fund-A-Acc-EUR-2022-fr_special_2.pdf,Quelle est la durée de détention recommandée ?,au moins 4 ans, 3 à 7 ans,False
22,prospectus_Fidelity_2025-fr_special_1.pdf,Ce produit financier a-t-il un objectif d'investissement durable ?,Non, OUI,False
