id,file,question,answer,prediction,evaluation
1,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quel est le code ISIN mentionné dans le tableau ?,FR0010655761, FR0010857671,False
2,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est l’affectation des sommes distribuables ?,Capitalisation et/ou distribution par décision de la Société de Gestion., Capitalisation sous distribution par decision de la Societe de Gestion,True
3,prospectus_amundi_FR0010655761-fr_Table1.pdf,En quelle devise le fonds est-il libellé ?,euro, euro,True
4,prospectus_amundi_FR0010655761-fr_Table1.pdf,À quelle fréquence est calculée la valeur liquidative ?,Quotidienne, Quotidienne,True
5,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la valeur liquidative d’origine ?,"103,49 euros", 103.49 euros,True
6,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la souscription initiale minimale sur le marché primaire ?,6800 parts, 6800 parts,True
7,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la souscription ultérieure minimale sur le marché primaire ?,1 part, 1 part(s),True
8,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la souscription initiale minimale sur le marché secondaire ?,1 part, 1 part(s),True
9,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la souscription ultérieure minimale sur le marché secondaire ?,1 part, 1 part(s),True
10,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quels sont les types de souscripteurs concernés ?,Tous souscripteurs, Tous souscripteurs,True
11,prospectus_amundi_FR0010655761-fr_Table1.pdf,La souscription initiale minimale sur le marché primaire est-elle de 6800 parts ?,Oui, Oui,True
12,prospectus_amundi_FR0010655761-fr_Table1.pdf,Le produit est-il ouvert à tous les souscripteurs ?,Oui, Oui,True
13,prospectus_amundi_FR0010655761-fr_Table1.pdf,Quelle est la fréquence de calcul de la valeur liquidative ?,Quotidienne, Quotidienne,True
14,prospectus_amundi_FR0010655761-fr_Table1.pdf,La valeur liquidative d’origine est-elle supérieure à 100 € ?,Oui, Yes,True
15,prospectus_amundi_FR0010655761-fr_Table1.pdf,"La valeur liquidative d’origine est supérieure à 100 €, vrai ou faux ?",Oui, Vrai,True
16,prospectus_amundi_FR0010655761-fr_Table1.pdf,L’affectation des sommes distribuables est-elle uniquement en capitalisation ?,Non, No,True
17,prospectus_amundi_FR0010655761-fr_Table2.pdf,À quelle heure limite les ordres de souscription doivent-ils être centralisés ?,avant 17h00, 17H00,False
18,prospectus_amundi_FR0010655761-fr_Table2.pdf,À quelle heure limite les ordres de rachat doivent-ils être centralisés ?,avant 17h00, 17h00,False
19,prospectus_amundi_FR0010655761-fr_Table2.pdf,Quand l’exécution des ordres a-t-elle lieu ?,en J, J,True
20,prospectus_amundi_FR0010655761-fr_Table2.pdf,Quand la valeur liquidative (VL) est-elle publiée ?,J+1 ouvré, J+1 ouvré,True
21,prospectus_amundi_FR0010655761-fr_Table2.pdf,À quelle date les souscriptions sont-elles réglées ?,J+2 ouvrés, J+2 ouvrés,True
22,prospectus_amundi_FR0010655761-fr_Table2.pdf,À quelle date les rachats sont-ils réglés ?,J+2 ouvrés, J+2 ouvrés,True
23,prospectus_amundi_FR0010655761-fr_Table3.pdf,Quel est le taux de la commission de souscription non acquise au fonds sur le marché concerné ?,3 % par demande de souscription, 3% par demande de souscription,True
24,prospectus_amundi_FR0010655761-fr_Table3.pdf,Quel est le taux de la commission de rachat non acquise au fonds ?,3 % par demande de rachat, 3% par demande de rachat,True
