id,question,answer,prediction,google__gemma-3-27b-it,Qwen__Qwen3-32B,meta-llama__Llama-3.3-70B-Instruct,majority_vote
1,Quel est le nom du fonds parapluie associé à ce document KIID ?,Aberdeen Standard SICAV I, Aberdeen Standard SICAV I,True,True,True,True
2,Quel est le nom du produit ou du fonds décrit dans ce KIID ?,World Resources Equity Fund, World Resources Equity Fund,True,True,True,True
3,Quels sont les frais d’entrée applicables à cet investissement ?,0.05, 5.00%,False,True,True,True
4,Quels sont les frais de sortie applicables à cet investissement ?,0, 0.00%,True,True,True,True
5,Quels sont les risques associés à cet investissement concernant l'évaluation et la vente des titres ?,certains titres peuvent devenir difficiles à évaluer ou à vendre à un prix souhaité," Les risques associés à cet investissement concernant l'évaluation et la vente des titres incluent la difficulté à évaluer les titres dans des conditions de marché extrêmes et la possibilité de ne pas pouvoir vendre les titres à un prix souhaité, ce qui pourrait nuire à la capacité du fonds d'honorer les ra",True,True,True,True
6,Quels sont les risques associés à l'investissement dans des actions et des titres assimilés ?,"Ces titres sont sensibles aux variations des marchés boursiers, qui peuvent être volatils, et varier considérablement sur de courtes périodes."," Les risques associés à l'investissement dans des actions et des titres assimilés incluent la volatilité des marchés boursiers, des variations considérables sur de courtes périodes, et une sensibilité aux fluctuations économiques et politiques.",True,True,True,True
7,Contre quel risque lié à l'investissement des techniques de couverture sont-elles mises en place ?,risque de change, risque de change,True,True,True,True
8,Dans quelle devise la performance de ce fonds est-elle mesurée ?,EUR, EUR,True,True,True,True
9,Dans quelle devise le fond est il libellé?,un compartiment libellé en dollars américains, dollars américains,True,True,True,True
10,Quel indice de référence est utilisé pour comparer la performance de ce fonds ?,S&P Global Natural Resources (USD), S&P Global Natural Resources (USD),True,True,True,True
11,Quelle est la date de la dernière mise à jour de ce KIID ?,2021-12-11T00:00:00, 12/11/2021,True,True,True,True
12,Quelle est la date de lancement de ce fond?,1989, 1989,True,True,True,True
13,Quelle est la date de lancement de la catégorie d'actions ou de parts?,2005, 2005,True,True,True,True
14,Comment sait-on qu'il s'agit d'un document de type KIID ?,Informations clés pour l'investisseur," ""conformément à une obligation légale""",False,False,False,False
15,Quel est l'identifiant du produit financier présente dans ce texte ?,LU0505784883, LU0505784883,True,True,True,True
16,Quelle est la période de détention recommandée pour cet investissement ?,cinq ans, cinq ans,True,True,True,True
17,Quelle est la forme juridique de ce fond ?,SICAV," SICAV I, classe d'Actions S Acc",False,False,True,False
18,Dans quels instruments financiers le fond investit-il?,actions et titres de participation d'entreprises, actions et titres de participation,True,True,True,True
19,Quels instruments financiers sont utilisés à des fins de couverture ?,dérivés, produits dérivés,True,True,True,True
20,Est-ce que le Fonds est géré activement ou passivement?,géré activement, Le Fonds est géré activement.,True,True,True,True
21,Quelle est autorité a agréé le Fonds Aberdeen Standard SICAV I ?,Commission de Surveillance du Secteur Financier (CSSF), La Commission de Surveillance du Secteur Financier (CSSF),True,True,True,True
